nr;datum;Locatie;Methode;Locatie_VA;Gewicht Glasaal;Gewicht maag-darmstelsel;Anorganic Material;Cladocera sp.;Annelida;Polychaete;Isopoda;Diptera sp.;Chironomida sp.;Crustaceae sp.;Cyclopoida sp.;Unidentified sp.;Amphipoda sp.;Calanoida sp.;Copepoda sp.;Harpacticoida sp.;Hexapoda sp.;Coleoptera Larvae;Pennate diatom;Plantae sp.;Stomach
1;10/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,259;0,0089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
2;10/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,281;0,0102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
3;10/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,176;0,0035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
4;10/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,206;0,005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
5;10/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,264;0,0069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
6;10/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,199;0,0055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
7;11/03/2017;PG-KR;Lift Nets;Pumping Station;0,146;0,0041;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
8;11/03/2017;PG-KR;Lift Nets;Pumping Station;0,117;0,0044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
9;11/03/2017;PG-KR;Lift Nets;Pumping Station;0,156;0,0042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
10;11/03/2017;PG-KR;Lift Nets;Pumping Station;0,205;0,0058;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
11;11/03/2017;PG-KR;Lift Nets;Pumping Station;0,196;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
12;17/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,2101;0,0064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
13;17/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,223;0,009;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
14;17/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,25;0,007;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
15;17/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,11;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
16;17/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,26;0,0066;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
17;17/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,196;0,0074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
18;17/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,236;0,009;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
19;17/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,202;0,0072;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
20;17/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,182;0,0064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
21;17/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,188;0,0075;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
22;17/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,201;0,0055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
23;17/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,191;0,0035;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
24;17/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,135;0,0042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
25;17/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,199;0,005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
26;17/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,265;0,0079;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Food present
27;17/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,158;0,0035;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
28;18/03/2017;PG-KR;Lift Nets;Pumping Station;0,25;0,0069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
29;18/03/2017;PG-KR;Lift Nets;Pumping Station;0,253;0,0052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
30;18/03/2017;PG-KR;Lift Nets;Pumping Station;0,175;0,0038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
31;18/03/2017;PG-KR;Lift Nets;Pumping Station;0,25;0,0059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
32;18/03/2017;PG-KR;Lift Nets;Pumping Station;0,243;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
33;24/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,223;0,008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
34;24/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,191;0,0085;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
35;24/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,166;0,0076;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
36;24/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,061;0,004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;Food present
37;24/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,148;0,0054;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;Food present
38;24/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,115;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
39;24/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,177;0,0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
40;24/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,203;0,004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
41;24/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,248;0,0063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
42;24/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,194;0,0079;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
43;24/03/2017;GA-SU;Artificial Substrates;Ganzepoot;0,189;0,0051;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
44;24/03/2017;GA-SU;Artificial Substrates;Ganzepoot;0,106;0,0032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
45;24/03/2017;GA-SU;Artificial Substrates;Ganzepoot;0,216;0,0067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
46;24/03/2017;GA-SU;Artificial Substrates;Ganzepoot;0,254;0,007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Food present
47;24/03/2017;GA-SU;Artificial Substrates;Ganzepoot;0,235;0,0065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
48;24/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,175;0,0062;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
49;24/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,188;0,0062;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
50;24/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,186;0,0077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
51;24/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,164;0,0031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
52;24/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,316;0,014;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
53;24/03/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,194;0,0038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
54;24/03/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,147;0,0052;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
55;24/03/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,157;0,0084;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
56;24/03/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,156;0,0065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Food present
57;24/03/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,045;0,0015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
58;24/03/2017;PG-KR;Lift Nets;Pumping Station;0,263;0,0073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
59;24/03/2017;PG-KR;Lift Nets;Pumping Station;0,215;0,0077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Food present
60;24/03/2017;PG-KR;Lift Nets;Pumping Station;0,211;0,211;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
61;24/03/2017;PG-KR;Lift Nets;Pumping Station;0,101;0,0025;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;Food present
62;24/03/2017;PG-KR;Lift Nets;Pumping Station;0,188;0,0071;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
63;31/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,158;0,0058;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
64;31/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,169;0,008;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
65;31/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,2;0,0051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
66;31/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,096;0,0015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
67;31/03/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,189;0,0062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Food present
68;31/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,243;0,0091;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
69;31/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,173;0,0069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Food present
70;31/03/2017;PG-L0-PA;Eel Ladder;Pumping Station;0,242;0,007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
71;31/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,228;0,0064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Food present
72;31/03/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,345;0,0095;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
73;31/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,288;0,0137;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
74;31/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,235;0,006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
75;31/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,221;0,008;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
76;31/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,124;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
77;31/03/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,193;0,0084;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;Food present
78;31/03/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,201;0,009;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
79;31/03/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,209;0,0089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
80;31/03/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,18;0,007;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
81;31/03/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,19;0,0074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
82;31/03/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,293;0,0074;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
83;1/04/2017;PG-KR;Lift Nets;Pumping Station;0,148;0,0062;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
84;1/04/2017;PG-KR;Lift Nets;Pumping Station;0,236;0,0085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
85;1/04/2017;PG-KR;Lift Nets;Pumping Station;0,233;0,009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Food present
86;1/04/2017;PG-KR;Lift Nets;Pumping Station;0,222;0,0064;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
87;1/04/2017;PG-KR;Lift Nets;Pumping Station;0,243;0,0087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
88;7/04/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,261;0,009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
89;7/04/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,073;0,0019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
90;7/04/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,224;0,0096;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;Food present
91;7/04/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,245;0,0107;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
92;7/04/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,176;0,004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
93;7/04/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,136;0,0059;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
94;7/04/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,218;0,0056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
95;7/04/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,231;0,0101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
96;7/04/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,234;0,0104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
97;7/04/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,153;0,0056;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
98;7/04/2017;GA-SU;Artificial Substrates;Ganzepoot;0,163;0,0082;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
99;7/04/2017;GA-SU;Artificial Substrates;Ganzepoot;0,167;0,0102;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;Food present
100;7/04/2017;GA-SU;Artificial Substrates;Ganzepoot;0,229;0,007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
101;7/04/2017;GA-SU;Artificial Substrates;Ganzepoot;0,123;0,0049;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
102;7/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,298;0,0113;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
103;7/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,18;0,0051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Food present
104;7/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,13;0,0056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
105;7/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,227;0,002;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Food present
106;7/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,108;0,0047;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
107;7/04/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,224;0,0083;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
108;7/04/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,194;0,0095;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
109;7/04/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,133;0,0076;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Food present
110;7/04/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,21;0,01;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
111;7/04/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,188;0,0126;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
112;7/04/2017;PG-KR;Lift Nets;Pumping Station;0,274;0,0131;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;Food present
113;7/04/2017;PG-KR;Lift Nets;Pumping Station;0,27;0,0068;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Food present
114;7/04/2017;PG-KR;Lift Nets;Pumping Station;0,273;0,0072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
115;7/04/2017;PG-KR;Lift Nets;Pumping Station;0,2;0,0095;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;Food present
116;7/04/2017;PG-KR;Lift Nets;Pumping Station;0,178;0,0057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
117;14/04/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,148;0,0053;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
118;14/04/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,175;0,0072;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;Food present
119;14/04/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,22;0,0117;0;0;0;0;0;0;0;0;7;1;0;0;2;0;0;0;0;0;Food present
120;14/04/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,173;0,0096;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;Food present
121;14/04/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,196;0,0131;1;0;0;1;0;0;0;0;29;0;0;0;0;1;0;0;0;0;Food present
122;14/04/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,221;0,0091;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;Food present
123;14/04/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,153;0,0046;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
124;14/04/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,212;0,0089;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
125;14/04/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,321;0,0075;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;Food present
126;14/04/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,159;0,0073;0;0;0;0;0;0;0;0;19;0;0;0;0;0;1;0;0;0;Food present
127;14/04/2017;GA-SU;Artificial Substrates;Ganzepoot;0,176;0,005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
128;14/04/2017;GA-SU;Artificial Substrates;Ganzepoot;0,216;0,0088;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
129;14/04/2017;GA-SU;Artificial Substrates;Ganzepoot;0,278;0,0136;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;Food present
130;14/04/2017;GA-SU;Artificial Substrates;Ganzepoot;0,117;0,0037;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
131;14/04/2017;GA-SU;Artificial Substrates;Ganzepoot;0,169;0,0078;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;Food present
132;14/04/2017;SC-RO-SU;Artificial Substrates;Sluice Complex;0,203;0,021;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;Food present
133;14/04/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,172;0,0069;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;Food present
134;14/04/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,155;0,011;0;0;0;1;0;0;0;0;18;0;0;0;0;0;0;0;0;0;Food present
135;14/04/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,33;0,0148;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;Food present
136;14/04/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,128;0,0105;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;Food present
137;14/04/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,114;0,0065;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Food present
138;14/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,224;0,0089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
139;14/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,233;0,0093;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
140;14/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,182;0,0094;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
